anio;item;categoria;seccion;combustible;tcal
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Gas Corriente;Gas Corriente;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Metanol;Metanol;0
2008;C.TRANSFO.;Plantas de Gas;Energéticos Primarios;Petróleo Crudo;0
2008;C.TRANSFO.;Plantas de Gas;Energéticos Primarios;Gas Natural;662,4551598
2008;C.TRANSFO.;Plantas de Gas;Energéticos Primarios;Carbón;0
2008;C.TRANSFO.;Plantas de Gas;Energéticos Primarios;Biomasa;0
2008;C.TRANSFO.;Plantas de Gas;Energéticos Primarios;Energía Hídrica;0
2008;C.TRANSFO.;Plantas de Gas;Energéticos Primarios;Energía Eólica;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Petróleo Diesel;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Petróleo Combustible;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Gasolina de motor;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Kerosene;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Gas Licuado;-956,1191932
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Gasolina de Aviación;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Kerosene de Aviación;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Nafta;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Gas de Refinería;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;Coque de Petróleo;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Petróleo;D.I. de Petróleo;0
2008;C.TRANSFO.;Plantas de Gas;Electricidad;Electricidad;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Carbón;Coque Mineral;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Carbón;Gas Coque;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Carbón;Alquitrán;0
2008;C.TRANSFO.;Plantas de Gas;Derivados De Carbón;Gas de Altos Hornos;0
2008;C.TRANSFO.;Plantas de Gas;Gas Corriente;Gas Corriente;283,2322839
2008;C.TRANSFO.;Plantas de Gas;Metanol;Metanol;0
2008;C.TRANSFO.;Liquefacción de Gas;Energéticos Primarios;Petróleo Crudo;0
2008;C.TRANSFO.;Liquefacción de Gas;Energéticos Primarios;Gas Natural;-9460,206915
2008;C.TRANSFO.;Liquefacción de Gas;Energéticos Primarios;Carbón;0
2008;C.TRANSFO.;Liquefacción de Gas;Energéticos Primarios;Biomasa;0
2008;C.TRANSFO.;Liquefacción de Gas;Energéticos Primarios;Energía Hídrica;0
2008;C.TRANSFO.;Liquefacción de Gas;Energéticos Primarios;Energía Eólica;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Petróleo Diesel;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Petróleo Combustible;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Gasolina de motor;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Kerosene;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Gas Licuado;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Gasolina de Aviación;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Kerosene de Aviación;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Nafta;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Gas de Refinería;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;Coque de Petróleo;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Petróleo;D.I. de Petróleo;0
2008;C.TRANSFO.;Liquefacción de Gas;Electricidad;Electricidad;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Carbón;Coque Mineral;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Carbón;Gas Coque;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Carbón;Alquitrán;0
2008;C.TRANSFO.;Liquefacción de Gas;Derivados De Carbón;Gas de Altos Hornos;0
2008;C.TRANSFO.;Liquefacción de Gas;Gas Corriente;Gas Corriente;0
2008;C.TRANSFO.;Liquefacción de Gas;Metanol;Metanol;5888,176091
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Energéticos Primarios;Petróleo Crudo;-110419,5539
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Energéticos Primarios;Gas Natural;-3649,276742
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Energéticos Primarios;Carbón;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Energéticos Primarios;Biomasa;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Energéticos Primarios;Energía Hídrica;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Energéticos Primarios;Energía Eólica;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Petróleo Diesel;41536,24619
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Petróleo Combustible;20017,10458
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Gasolina de motor;24977,25076
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Kerosene;860,2310079
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Gas Licuado;8118,341263
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Gasolina de Aviación;49,314006
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Kerosene de Aviación;5676,124394
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Nafta;1450,95937
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Gas de Refinería;3581,951908
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;Coque de Petróleo;3475,091758
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Petróleo;D.I. de Petróleo;1562,19756
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Electricidad;Electricidad;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Carbón;Coque Mineral;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Carbón;Gas Coque;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Carbón;Alquitrán;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Derivados De Carbón;Gas de Altos Hornos;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Gas Corriente;Gas Corriente;0
2008;C.TRANSFO.;Refinería Petróleo - Gas Natural;Metanol;Metanol;0
2008;C.TRANSFO.;Consumo Final;Energéticos Primarios;Petróleo Crudo;0
2008;C.TRANSFO.;Consumo Final;Energéticos Primarios;Gas Natural;6054,852329
2008;C.TRANSFO.;Consumo Final;Energéticos Primarios;Carbón;3992,947094
2008;C.TRANSFO.;Consumo Final;Energéticos Primarios;Biomasa;45777,43619
2008;C.TRANSFO.;Consumo Final;Energéticos Primarios;Energía Hídrica;0
2008;C.TRANSFO.;Consumo Final;Energéticos Primarios;Energía Eólica;0
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Petróleo Diesel;63585,11629
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Petróleo Combustible;25961,61061
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Gasolina de motor;25731,80826
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Kerosene;877,0248203
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Gas Licuado;15049,87708
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Gasolina de Aviación;47,24346732
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Kerosene de Aviación;9500,974789
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Nafta;1144,49096
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Gas de Refinería;3413,562728
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;Coque de Petróleo;464,781654
2008;C.TRANSFO.;Consumo Final;Derivados De Petróleo;D.I. de Petróleo;1562,19756
